DayOfYear,TempC
0.7425,18.5
0.7452,17.5
0.7479,18
0.7507,18.5
0.7534,17
0.7562,18.5
0.7589,18.5
0.7616,18.5
0.7644,10.5
0.7671,9.5
0.7699,9
0.7726,12
0.7753,17
0.7781,12
0.7808,9.5
0.7836,7
0.7863,6.5
0.789,5
0.7918,5.5
0.7945,7
0.7973,12.5
0.8,7
0.8027,7
0.8055,9.5
0.8082,10
0.811,9
0.8137,10.5
0.8164,9.5
0.8192,8.5
0.8219,8
0.8247,8.5
0.8274,8
0.8301,9
0.8329,8
0.8356,9
0.8384,8.5
0.8411,8.5
0.8438,9
0.8466,10
0.8493,9.5
0.8521,8
0.8548,9
0.8575,5
0.8603,2.5
0.863,3
0.8658,2.5
0.8685,2.5
0.8712,2.5
0.874,2
0.8767,1
0.8877,0
0.8904,-0.5
0.8932,2
0.8959,0
0.8986,0.5
0.9014,0.5
0.9041,2
0.9068,3
0.9096,2
0.9123,1
0.9151,0
0.9178,-1.5
0.9205,0
0.9233,5
0.926,7.5
0.9288,3.5
0.9315,2
0.9342,3
0.937,4
0.9397,5.5
0.9425,3.5
0.9452,4
0.9479,5
0.9507,3.5
0.9534,5
0.9562,3.5
0.9589,3
0.9616,1.5
0.9644,1.5
0.9671,0.5
0.9699,-0.5
0.9726,-1
0.9753,0
0.9781,0
0.9808,1
0.9836,1.5
0.9863,2
0.989,1
0.9918,0
0.9945,1
0.9973,0.5
0,1
0.0027,2
0.0055,3.5
0.0082,3.5
0.011,2
0.0137,2.5
0.0164,1.5
0.0192,2
0.0219,1.5
0.0247,1
0.0274,1
0.0301,3.5
0.0329,3
0.0356,0.5
0.0384,-0.5
0.0411,-1
0.0438,-2.5
0.0466,-0.5
0.0493,0
0.0521,1
0.0548,0
0.0575,2.5
0.0603,3.5
0.063,2.5
0.0658,0
0.0685,-1
0.0712,-1.5
0.074,-3
0.0767,-3
0.0795,-4.5
0.0822,-6.5
0.0849,-6.5
0.0877,-9
0.0904,-9.5
0.0932,-9
0.0959,-10.5
0.0986,-10
0.1014,-8.5
0.1041,-13
0.1068,-12
0.1096,-11
0.1123,-11
0.1151,-10
0.1178,-7.5
0.1205,-7.5
0.1233,-4.5
0.126,-4
0.1288,-2.5
0.1315,-0.5
0.1342,-0.5
0.137,0.5
0.1397,0.5
0.1425,0.5
0.1452,1.5
0.1479,3.5
0.1507,7.5
0.1534,3
0.1562,0.5
0.1589,0
0.1616,6
0.1644,5.5
0.1671,8.5
0.1699,6
0.1726,3.5
0.1753,2.5
0.1781,2
0.1808,1.5
0.1836,0.5
0.1863,3.5
0.189,5
0.1918,5.5
0.1945,4.5
0.1973,7.5
0.2,7.5
0.2027,9.5
0.2055,10.5
0.2082,12
0.211,12.5
0.2137,9.5
0.2164,10.5
0.2192,12
0.2219,14
0.2247,13.5
0.2274,14
0.2301,13.5
0.2329,9.5
0.2356,10.5
0.2384,13
0.2411,10
0.2438,9.5
0.2466,7
0.2493,5
0.2521,9.5
0.2548,13.5
0.2575,15
0.2603,17.5
0.263,15
0.2658,8.5
0.2685,4
0.2712,5
0.274,6.5
0.2767,10.5
0.2795,9.5
0.2822,13
0.2849,11
0.2877,11.5
0.2904,9.5
0.2932,9.5
0.2959,11.5
0.2986,11.5
